id,user_id,number_of_friends,percentage_overlap,network_type,created_at,updated_at,data_size,total_size,percentage_overlap_data_size
306,238,22,0.404029188,olin,29:36.7,18:45.7,66377777,273512330,0.242686598
307,238,23,0.404187817,olin,29:39.9,18:45.7,66377777,273512330,0.242686598
308,238,24,0.409581218,olin,29:42.8,18:45.9,68936230,273512330,0.252040667
214,233,33,0.411628734,olin,20:37.7,18:45.9,29425405,468532270,0.062803369
310,238,26,0.423699239,olin,29:50.4,18:46.5,69082346,273512330,0.252574888
311,238,27,0.423699239,olin,29:53.9,18:46.5,69082346,273512330,0.252574888
312,238,28,0.423699239,olin,29:58.1,18:46.5,69082346,273512330,0.252574888
313,238,29,0.423857868,olin,30:02.0,18:46.5,69082346,273512330,0.252574888
314,238,30,0.423857868,olin,30:06.4,18:46.5,69082346,273512330,0.252574888
218,233,37,0.426386913,olin,20:50.6,18:46.6,29520593,468532270,0.063006531
221,233,40,0.426742532,olin,21:01.4,18:46.6,31797669,468532270,0.067866551
220,233,39,0.426742532,olin,20:58.0,18:46.6,31797669,468532270,0.067866551
219,233,38,0.426742532,olin,20:54.2,18:46.6,31797669,468532270,0.067866551
222,233,41,0.426920341,olin,21:05.3,18:46.6,31797669,468532270,0.067866551
225,233,44,0.428698435,olin,21:16.7,18:46.7,31818347,468532270,0.067910684
226,233,45,0.430476529,olin,21:20.7,18:46.7,35281231,468532270,0.075301603
224,233,43,0.428698435,olin,21:12.7,18:46.7,31818347,468532270,0.067910684
316,238,32,0.435596447,olin,30:15.6,18:46.8,77132726,273512330,0.282008222
317,238,33,0.435596447,olin,30:20.1,18:46.8,77132726,273512330,0.282008222
227,233,46,0.439544808,olin,21:24.8,18:47.1,35318878,468532270,0.075381954
228,233,47,0.439900427,olin,21:29.1,18:47.1,35323850,468532270,0.075392566
229,233,48,0.440611664,olin,21:33.3,18:47.1,35323850,468532270,0.075392566
231,233,50,0.440789474,olin,21:41.5,18:47.1,35327800,468532270,0.075400996
234,233,53,0.441678521,olin,21:55.7,18:47.1,35327800,468532270,0.075400996
235,233,54,0.442211949,olin,22:00.2,18:47.2,35327800,468532270,0.075400996
236,233,55,0.452169275,olin,22:05.1,18:47.5,47057207,468532270,0.10043536
238,233,57,0.452347084,olin,22:17.1,18:47.5,47057207,468532270,0.10043536
237,233,56,0.452347084,olin,22:10.8,18:47.5,47057207,468532270,0.10043536
239,233,58,0.453058321,olin,22:21.9,18:47.5,47057207,468532270,0.10043536
240,233,59,0.45341394,olin,22:27.3,18:47.5,47057207,468532270,0.10043536
243,233,62,0.463193457,olin,22:43.2,18:48.1,47264896,468532270,0.100878635
242,233,61,0.463193457,olin,22:37.6,18:48.1,47264896,468532270,0.100878635
244,233,63,0.463904694,olin,22:48.8,18:48.2,47270092,468532270,0.100889725
245,233,64,0.465504979,olin,22:54.1,18:48.3,47275314,468532270,0.100900871
246,233,65,0.466216216,olin,23:00.3,18:48.3,47281513,468532270,0.100914101
247,233,66,0.466216216,olin,23:05.8,18:48.3,47281513,468532270,0.100914101
248,233,67,0.466216216,olin,23:11.7,18:48.3,47281513,468532270,0.100914101
250,233,69,0.466394026,olin,23:23.2,18:48.3,47281513,468532270,0.100914101
251,233,70,0.471372688,olin,23:29.7,18:48.6,47286997,468532270,0.100925806
252,233,71,0.471372688,olin,23:35.6,18:48.6,47286997,468532270,0.100925806
255,233,74,0.471550498,olin,23:54.4,18:48.7,47286997,468532270,0.100925806
256,233,75,0.471550498,olin,24:01.0,18:48.7,47286997,468532270,0.100925806
253,233,72,0.471550498,olin,23:41.6,18:48.7,47286997,468532270,0.100925806
257,233,76,0.471906117,olin,24:07.0,18:48.7,47286997,468532270,0.100925806
259,233,78,0.472083926,olin,24:26.2,18:48.7,47614295,468532270,0.101624366
260,233,79,0.472083926,olin,24:33.7,18:48.7,47614295,468532270,0.101624366
261,233,80,0.472083926,olin,24:40.3,18:48.7,47614295,468532270,0.101624366
262,233,81,0.472261735,olin,24:47.6,18:48.7,47614295,468532270,0.101624366
